1,John,0,3,male,7.25,56,10
2,John,1,1,female,71.2833,22,4
3,William,1,3,female,7.925,7,8
4,James,1,1,female,53.1,155,2
5,William,0,3,male,8.05,44,1
6,James,0,3,male,8.4583,93,3
7,Charles,0,1,male,51.8625,192,5
8,George,0,3,male,21.075,106,8
9,Charles,1,3,female,11.1333,11,7
10,George,1,2,female,30.0708,193,1
11,Frank,1,3,female,16.7,173,10
12,Joseph,1,1,female,26.55,1,5
13,Frank,0,3,male,8.05,110,5
14,Joseph,0,3,male,31.275,18,2
15,Thomas,0,3,female,7.8542,187,6
16,Henry,1,2,female,16,90,3
17,Thomas,0,3,male,29.125,157,9
18,Henry,1,2,male,13,16,10
19,Robert,0,3,female,18,108,5
20,Edward,1,3,female,7.225,33,10
21,Robert,0,2,male,26,33,4
22,Edward,1,2,male,13,167,2
23,Harry,1,3,female,8.0292,22,1
24,Harry,1,1,male,35.5,149,9
25,Walter,0,3,female,21.075,169,3
26,Arthur,1,3,female,31.3875,27,1
27,Walter,0,3,male,7.225,46,5
28,Arthur,0,1,male,263,110,1
29,Fred,1,3,female,7.8792,32,5
30,Fred,0,3,male,7.8958,105,10
31,Albert,0,1,male,27.7208,104,1
32,Albert,1,1,female,146.5208,126,9
33,Samuel,1,3,female,7.75,70,7
34,Samuel,0,2,male,10.5,168,6
35,David,0,1,male,82.1708,37,8
36,Louis,0,1,male,52,57,7
37,Joe,1,3,male,7.2292,189,4
38,Charlie,0,3,male,8.05,147,3
39,David,0,3,female,18,135,8
40,Louis,1,3,female,11.2417,122,5
41,Joe,0,3,female,9.475,175,2
42,Charlie,0,2,female,21,92,7
43,Clarence,0,3,male,7.8958,107,6
44,Clarence,1,2,female,41.5792,162,8
45,Richard,1,3,female,7.8792,189,4
46,Richard,0,3,male,8.05,109,10
47,Andrew,0,3,male,15.5,44,5
48,Andrew,1,3,female,7.75,97,5
49,Daniel,0,3,male,21.6792,100,4
50,Daniel,0,3,female,17.8,67,0
51,Ernest,0,3,male,39.6875,108,3
52,Will,0,3,male,7.8,18,8
53,Ernest,1,1,female,76.7292,81,2
54,Will,1,2,female,26,137,2
55,Jesse,0,1,male,61.9792,124,6
56,Oscar,1,1,male,35.5,139,6
57,Jesse,1,2,female,10.5,43,4
58,Lewis,0,3,male,7.2292,176,4
59,Oscar,1,2,female,27.75,77,8
60,Peter,0,3,male,46.9,66,2
61,Benjamin,0,3,male,7.2292,56,8
62,Lewis,1,1,female,80,173,7
63,Frederick,0,1,male,83.475,86,8
64,Willie,0,3,male,27.9,59,1
65,Alfred,0,1,male,27.7208,106,9
66,Sam,1,3,male,15.2458,105,7
67,Peter,1,2,female,10.5,197,5
68,Roy,0,3,male,8.1583,136,8
69,Benjamin,1,3,female,7.925,1,5
70,Herbert,0,3,male,8.6625,148,6
71,Jacob,0,2,male,10.5,59,8
72,Frederick,0,3,female,46.9,86,5
73,Tom,0,2,male,73.5,82,2
74,Elmer,0,3,male,14.4542,153,5
75,Carl,1,3,male,56.4958,68,2
76,Lee,0,3,male,7.65,126,1
77,Howard,0,3,male,7.8958,30,6
78,Martin,0,3,male,8.05,116,8
79,Michael,1,2,male,29,79,3
80,Willie,1,3,female,12.475,95,4
81,Bert,0,3,male,9,83,7
82,Herman,1,3,male,9.5,53,8
83,Alfred,1,3,female,7.7875,132,1
84,Jim,0,1,male,47.1,48,2
85,Sam,1,2,female,10.5,168,10
86,Roy,1,3,female,15.85,36,8
87,Francis,0,3,male,34.375,105,6
